layers.0.mlp.down_proj                        0.4361 mlp
layers.0.mlp.gate_proj                        0.5028 mlp
layers.0.mlp.up_proj                          0.4966 mlp
layers.0.self_attn.k_proj                     0.4817 attn
layers.0.self_attn.o_proj                     0.4842 attn
layers.0.self_attn.q_proj                     0.4591 attn
layers.0.self_attn.v_proj                     0.4661 attn
layers.1.mlp.down_proj                        0.5947 mlp
layers.1.mlp.gate_proj                        0.6177 mlp
layers.1.mlp.up_proj                          0.6166 mlp
layers.1.self_attn.k_proj                     0.7294 attn
layers.1.self_attn.o_proj                     0.6368 attn
layers.1.self_attn.q_proj                     0.6993 attn
layers.1.self_attn.v_proj                     0.6163 attn
layers.10.mlp.down_proj                       0.4297 mlp
layers.10.mlp.gate_proj                       0.4886 mlp
layers.10.mlp.up_proj                         0.4522 mlp
layers.10.self_attn.k_proj                    0.5185 attn
layers.10.self_attn.o_proj                    0.5129 attn
layers.10.self_attn.q_proj                    0.4855 attn
layers.10.self_attn.v_proj                    0.4834 attn
layers.11.mlp.down_proj                       0.4157 mlp
layers.11.mlp.gate_proj                       0.4732 mlp
layers.11.mlp.up_proj                         0.4440 mlp
layers.11.self_attn.k_proj                    0.5448 attn
layers.11.self_attn.o_proj                    0.4954 attn
layers.11.self_attn.q_proj                    0.5217 attn
layers.11.self_attn.v_proj                    0.4999 attn
layers.12.mlp.down_proj                       0.4077 mlp
layers.12.mlp.gate_proj                       0.4617 mlp
layers.12.mlp.up_proj                         0.4454 mlp
layers.12.self_attn.k_proj                    0.5673 attn
layers.12.self_attn.o_proj                    0.4772 attn
layers.12.self_attn.q_proj                    0.5312 attn
layers.12.self_attn.v_proj                    0.4826 attn
layers.13.mlp.down_proj                       0.4135 mlp
layers.13.mlp.gate_proj                       0.4692 mlp
layers.13.mlp.up_proj                         0.4480 mlp
layers.13.self_attn.k_proj                    0.5610 attn
layers.13.self_attn.o_proj                    0.4983 attn
layers.13.self_attn.q_proj                    0.5246 attn
layers.13.self_attn.v_proj                    0.4975 attn
layers.14.mlp.down_proj                       0.4128 mlp
layers.14.mlp.gate_proj                       0.4677 mlp
layers.14.mlp.up_proj                         0.4463 mlp
layers.14.self_attn.k_proj                    0.5431 attn
layers.14.self_attn.o_proj                    0.4809 attn
layers.14.self_attn.q_proj                    0.5038 attn
layers.14.self_attn.v_proj                    0.4871 attn
layers.15.mlp.down_proj                       0.4231 mlp
layers.15.mlp.gate_proj                       0.4737 mlp
layers.15.mlp.up_proj                         0.4542 mlp
layers.15.self_attn.k_proj                    0.5566 attn
layers.15.self_attn.o_proj                    0.4851 attn
layers.15.self_attn.q_proj                    0.5075 attn
layers.15.self_attn.v_proj                    0.4769 attn
layers.16.mlp.down_proj                       0.4186 mlp
layers.16.mlp.gate_proj                       0.4691 mlp
layers.16.mlp.up_proj                         0.4523 mlp
layers.16.self_attn.k_proj                    0.5648 attn
layers.16.self_attn.o_proj                    0.5004 attn
layers.16.self_attn.q_proj                    0.5197 attn
layers.16.self_attn.v_proj                    0.4944 attn
layers.17.mlp.down_proj                       0.4135 mlp
layers.17.mlp.gate_proj                       0.4629 mlp
layers.17.mlp.up_proj                         0.4502 mlp
layers.17.self_attn.k_proj                    0.5689 attn
layers.17.self_attn.o_proj                    0.4891 attn
layers.17.self_attn.q_proj                    0.5151 attn
layers.17.self_attn.v_proj                    0.5026 attn
layers.18.mlp.down_proj                       0.4212 mlp
layers.18.mlp.gate_proj                       0.4698 mlp
layers.18.mlp.up_proj                         0.4548 mlp
layers.18.self_attn.k_proj                    0.5747 attn
layers.18.self_attn.o_proj                    0.5044 attn
layers.18.self_attn.q_proj                    0.5242 attn
layers.18.self_attn.v_proj                    0.5020 attn
layers.19.mlp.down_proj                       0.4208 mlp
layers.19.mlp.gate_proj                       0.4617 mlp
layers.19.mlp.up_proj                         0.4496 mlp
layers.19.self_attn.k_proj                    0.5585 attn
layers.19.self_attn.o_proj                    0.5150 attn
layers.19.self_attn.q_proj                    0.5093 attn
layers.19.self_attn.v_proj                    0.4974 attn
layers.2.mlp.down_proj                        0.4689 mlp
layers.2.mlp.gate_proj                        0.5743 mlp
layers.2.mlp.up_proj                          0.5599 mlp
layers.2.self_attn.k_proj                     0.6896 attn
layers.2.self_attn.o_proj                     0.5626 attn
layers.2.self_attn.q_proj                     0.6339 attn
layers.2.self_attn.v_proj                     0.5449 attn
layers.20.mlp.down_proj                       0.4166 mlp
layers.20.mlp.gate_proj                       0.4618 mlp
layers.20.mlp.up_proj                         0.4499 mlp
layers.20.self_attn.k_proj                    0.5501 attn
layers.20.self_attn.o_proj                    0.4868 attn
layers.20.self_attn.q_proj                    0.5148 attn
layers.20.self_attn.v_proj                    0.5104 attn
layers.21.mlp.down_proj                       0.4156 mlp
layers.21.mlp.gate_proj                       0.4616 mlp
layers.21.mlp.up_proj                         0.4519 mlp
layers.21.self_attn.k_proj                    0.5661 attn
layers.21.self_attn.o_proj                    0.4966 attn
layers.21.self_attn.q_proj                    0.5126 attn
layers.21.self_attn.v_proj                    0.5044 attn
layers.22.mlp.down_proj                       0.4183 mlp
layers.22.mlp.gate_proj                       0.4653 mlp
layers.22.mlp.up_proj                         0.4529 mlp
layers.22.self_attn.k_proj                    0.5558 attn
layers.22.self_attn.o_proj                    0.4849 attn
layers.22.self_attn.q_proj                    0.4965 attn
layers.22.self_attn.v_proj                    0.4881 attn
layers.23.mlp.down_proj                       0.4326 mlp
layers.23.mlp.gate_proj                       0.4772 mlp
layers.23.mlp.up_proj                         0.4640 mlp
layers.23.self_attn.k_proj                    0.5412 attn
layers.23.self_attn.o_proj                    0.4857 attn
layers.23.self_attn.q_proj                    0.4930 attn
layers.23.self_attn.v_proj                    0.4841 attn
layers.24.mlp.down_proj                       0.4215 mlp
layers.24.mlp.gate_proj                       0.4720 mlp
layers.24.mlp.up_proj                         0.4620 mlp
layers.24.self_attn.k_proj                    0.5619 attn
layers.24.self_attn.o_proj                    0.4880 attn
layers.24.self_attn.q_proj                    0.5069 attn
layers.24.self_attn.v_proj                    0.5050 attn
layers.25.mlp.down_proj                       0.4161 mlp
layers.25.mlp.gate_proj                       0.4664 mlp
layers.25.mlp.up_proj                         0.4566 mlp
layers.25.self_attn.k_proj                    0.5568 attn
layers.25.self_attn.o_proj                    0.4787 attn
layers.25.self_attn.q_proj                    0.5073 attn
layers.25.self_attn.v_proj                    0.4993 attn
layers.26.mlp.down_proj                       0.4088 mlp
layers.26.mlp.gate_proj                       0.4583 mlp
layers.26.mlp.up_proj                         0.4501 mlp
layers.26.self_attn.k_proj                    0.5555 attn
layers.26.self_attn.o_proj                    0.4775 attn
layers.26.self_attn.q_proj                    0.4976 attn
layers.26.self_attn.v_proj                    0.4963 attn
layers.27.mlp.down_proj                       0.4085 mlp
layers.27.mlp.gate_proj                       0.4555 mlp
layers.27.mlp.up_proj                         0.4474 mlp
layers.27.self_attn.k_proj                    0.5528 attn
layers.27.self_attn.o_proj                    0.4732 attn
layers.27.self_attn.q_proj                    0.5026 attn
layers.27.self_attn.v_proj                    0.4914 attn
layers.28.mlp.down_proj                       0.4157 mlp
layers.28.mlp.gate_proj                       0.4582 mlp
layers.28.mlp.up_proj                         0.4508 mlp
layers.28.self_attn.k_proj                    0.5430 attn
layers.28.self_attn.o_proj                    0.4725 attn
layers.28.self_attn.q_proj                    0.4953 attn
layers.28.self_attn.v_proj                    0.4815 attn
layers.29.mlp.down_proj                       0.4067 mlp
layers.29.mlp.gate_proj                       0.4563 mlp
layers.29.mlp.up_proj                         0.4479 mlp
layers.29.self_attn.k_proj                    0.5616 attn
layers.29.self_attn.o_proj                    0.4504 attn
layers.29.self_attn.q_proj                    0.5054 attn
layers.29.self_attn.v_proj                    0.4816 attn
layers.3.mlp.down_proj                        0.4406 mlp
layers.3.mlp.gate_proj                        0.5712 mlp
layers.3.mlp.up_proj                          0.5286 mlp
layers.3.self_attn.k_proj                     0.6533 attn
layers.3.self_attn.o_proj                     0.5131 attn
layers.3.self_attn.q_proj                     0.6076 attn
layers.3.self_attn.v_proj                     0.5267 attn
layers.30.mlp.down_proj                       0.4086 mlp
layers.30.mlp.gate_proj                       0.4576 mlp
layers.30.mlp.up_proj                         0.4490 mlp
layers.30.self_attn.k_proj                    0.5550 attn
layers.30.self_attn.o_proj                    0.4545 attn
layers.30.self_attn.q_proj                    0.4933 attn
layers.30.self_attn.v_proj                    0.4763 attn
layers.31.mlp.down_proj                       0.4215 mlp
layers.31.mlp.gate_proj                       0.4648 mlp
layers.31.mlp.up_proj                         0.4560 mlp
layers.31.self_attn.k_proj                    0.5502 attn
layers.31.self_attn.o_proj                    0.4740 attn
layers.31.self_attn.q_proj                    0.4892 attn
layers.31.self_attn.v_proj                    0.4775 attn
layers.32.mlp.down_proj                       0.4289 mlp
layers.32.mlp.gate_proj                       0.4727 mlp
layers.32.mlp.up_proj                         0.4562 mlp
layers.32.self_attn.k_proj                    0.5535 attn
layers.32.self_attn.o_proj                    0.4915 attn
layers.32.self_attn.q_proj                    0.4999 attn
layers.32.self_attn.v_proj                    0.4864 attn
layers.33.mlp.down_proj                       0.4255 mlp
layers.33.mlp.gate_proj                       0.4696 mlp
layers.33.mlp.up_proj                         0.4560 mlp
layers.33.self_attn.k_proj                    0.5642 attn
layers.33.self_attn.o_proj                    0.4687 attn
layers.33.self_attn.q_proj                    0.5047 attn
layers.33.self_attn.v_proj                    0.4985 attn
layers.34.mlp.down_proj                       0.4257 mlp
layers.34.mlp.gate_proj                       0.4713 mlp
layers.34.mlp.up_proj                         0.4583 mlp
layers.34.self_attn.k_proj                    0.5840 attn
layers.34.self_attn.o_proj                    0.4909 attn
layers.34.self_attn.q_proj                    0.5205 attn
layers.34.self_attn.v_proj                    0.5096 attn
layers.35.mlp.down_proj                       0.4223 mlp
layers.35.mlp.gate_proj                       0.4661 mlp
layers.35.mlp.up_proj                         0.4531 mlp
layers.35.self_attn.k_proj                    0.5714 attn
layers.35.self_attn.o_proj                    0.4997 attn
layers.35.self_attn.q_proj                    0.5116 attn
layers.35.self_attn.v_proj                    0.4986 attn
layers.36.mlp.down_proj                       0.4224 mlp
layers.36.mlp.gate_proj                       0.4641 mlp
layers.36.mlp.up_proj                         0.4515 mlp
layers.36.self_attn.k_proj                    0.5597 attn
layers.36.self_attn.o_proj                    0.4617 attn
layers.36.self_attn.q_proj                    0.5092 attn
layers.36.self_attn.v_proj                    0.5037 attn
layers.37.mlp.down_proj                       0.4160 mlp
layers.37.mlp.gate_proj                       0.4610 mlp
layers.37.mlp.up_proj                         0.4503 mlp
layers.37.self_attn.k_proj                    0.5653 attn
layers.37.self_attn.o_proj                    0.4708 attn
layers.37.self_attn.q_proj                    0.5035 attn
layers.37.self_attn.v_proj                    0.5010 attn
layers.38.mlp.down_proj                       0.4146 mlp
layers.38.mlp.gate_proj                       0.4650 mlp
layers.38.mlp.up_proj                         0.4530 mlp
layers.38.self_attn.k_proj                    0.5617 attn
layers.38.self_attn.o_proj                    0.4677 attn
layers.38.self_attn.q_proj                    0.4967 attn
layers.38.self_attn.v_proj                    0.4824 attn
layers.39.mlp.down_proj                       0.4252 mlp
layers.39.mlp.gate_proj                       0.4760 mlp
layers.39.mlp.up_proj                         0.4626 mlp
layers.39.self_attn.k_proj                    0.5516 attn
layers.39.self_attn.o_proj                    0.4761 attn
layers.39.self_attn.q_proj                    0.4914 attn
layers.39.self_attn.v_proj                    0.4885 attn
