layers.0.mlp.down_proj                        0.2258 mlp
layers.0.mlp.gate_proj                        0.3529 mlp
layers.0.mlp.up_proj                          0.3174 mlp
layers.0.self_attn.k_proj                     0.3495 attn
layers.0.self_attn.o_proj                     0.3298 attn
layers.0.self_attn.q_proj                     0.3060 attn
layers.0.self_attn.v_proj                     0.3408 attn
layers.1.mlp.down_proj                        0.2306 mlp
layers.1.mlp.gate_proj                        0.4459 mlp
layers.1.mlp.up_proj                          0.3494 mlp
layers.1.self_attn.k_proj                     0.4539 attn
layers.1.self_attn.o_proj                     0.3682 attn
layers.1.self_attn.q_proj                     0.3910 attn
layers.1.self_attn.v_proj                     0.3854 attn
layers.10.mlp.down_proj                       0.1983 mlp
layers.10.mlp.gate_proj                       0.2938 mlp
layers.10.mlp.up_proj                         0.2502 mlp
layers.10.self_attn.k_proj                    0.4151 attn
layers.10.self_attn.o_proj                    0.2623 attn
layers.10.self_attn.q_proj                    0.3420 attn
layers.10.self_attn.v_proj                    0.3233 attn
layers.11.mlp.down_proj                       0.1962 mlp
layers.11.mlp.gate_proj                       0.2908 mlp
layers.11.mlp.up_proj                         0.2557 mlp
layers.11.self_attn.k_proj                    0.4204 attn
layers.11.self_attn.o_proj                    0.2742 attn
layers.11.self_attn.q_proj                    0.3372 attn
layers.11.self_attn.v_proj                    0.3350 attn
layers.12.mlp.down_proj                       0.2050 mlp
layers.12.mlp.gate_proj                       0.2956 mlp
layers.12.mlp.up_proj                         0.2583 mlp
layers.12.self_attn.k_proj                    0.4448 attn
layers.12.self_attn.o_proj                    0.3242 attn
layers.12.self_attn.q_proj                    0.3586 attn
layers.12.self_attn.v_proj                    0.3722 attn
layers.13.mlp.down_proj                       0.1983 mlp
layers.13.mlp.gate_proj                       0.2969 mlp
layers.13.mlp.up_proj                         0.2652 mlp
layers.13.self_attn.k_proj                    0.4690 attn
layers.13.self_attn.o_proj                    0.3244 attn
layers.13.self_attn.q_proj                    0.3734 attn
layers.13.self_attn.v_proj                    0.3855 attn
layers.14.mlp.down_proj                       0.2003 mlp
layers.14.mlp.gate_proj                       0.2980 mlp
layers.14.mlp.up_proj                         0.2627 mlp
layers.14.self_attn.k_proj                    0.4365 attn
layers.14.self_attn.o_proj                    0.2860 attn
layers.14.self_attn.q_proj                    0.3459 attn
layers.14.self_attn.v_proj                    0.3506 attn
layers.15.mlp.down_proj                       0.2003 mlp
layers.15.mlp.gate_proj                       0.2952 mlp
layers.15.mlp.up_proj                         0.2663 mlp
layers.15.self_attn.k_proj                    0.4581 attn
layers.15.self_attn.o_proj                    0.2998 attn
layers.15.self_attn.q_proj                    0.3728 attn
layers.15.self_attn.v_proj                    0.3826 attn
layers.16.mlp.down_proj                       0.2010 mlp
layers.16.mlp.gate_proj                       0.2952 mlp
layers.16.mlp.up_proj                         0.2637 mlp
layers.16.self_attn.k_proj                    0.4377 attn
layers.16.self_attn.o_proj                    0.2752 attn
layers.16.self_attn.q_proj                    0.3374 attn
layers.16.self_attn.v_proj                    0.3457 attn
layers.17.mlp.down_proj                       0.2053 mlp
layers.17.mlp.gate_proj                       0.2978 mlp
layers.17.mlp.up_proj                         0.2743 mlp
layers.17.self_attn.k_proj                    0.4517 attn
layers.17.self_attn.o_proj                    0.3061 attn
layers.17.self_attn.q_proj                    0.3605 attn
layers.17.self_attn.v_proj                    0.3521 attn
layers.18.mlp.down_proj                       0.2051 mlp
layers.18.mlp.gate_proj                       0.2940 mlp
layers.18.mlp.up_proj                         0.2707 mlp
layers.18.self_attn.k_proj                    0.4701 attn
layers.18.self_attn.o_proj                    0.2877 attn
layers.18.self_attn.q_proj                    0.3654 attn
layers.18.self_attn.v_proj                    0.3663 attn
layers.19.mlp.down_proj                       0.2061 mlp
layers.19.mlp.gate_proj                       0.2932 mlp
layers.19.mlp.up_proj                         0.2726 mlp
layers.19.self_attn.k_proj                    0.4400 attn
layers.19.self_attn.o_proj                    0.3106 attn
layers.19.self_attn.q_proj                    0.3431 attn
layers.19.self_attn.v_proj                    0.3404 attn
layers.2.mlp.down_proj                        0.2779 mlp
layers.2.mlp.gate_proj                        0.4152 mlp
layers.2.mlp.up_proj                          0.3872 mlp
layers.2.self_attn.k_proj                     0.4408 attn
layers.2.self_attn.o_proj                     0.3417 attn
layers.2.self_attn.q_proj                     0.3650 attn
layers.2.self_attn.v_proj                     0.3676 attn
layers.20.mlp.down_proj                       0.1959 mlp
layers.20.mlp.gate_proj                       0.2932 mlp
layers.20.mlp.up_proj                         0.2712 mlp
layers.20.self_attn.k_proj                    0.4667 attn
layers.20.self_attn.o_proj                    0.2800 attn
layers.20.self_attn.q_proj                    0.3701 attn
layers.20.self_attn.v_proj                    0.3650 attn
layers.21.mlp.down_proj                       0.1891 mlp
layers.21.mlp.gate_proj                       0.2892 mlp
layers.21.mlp.up_proj                         0.2624 mlp
layers.21.self_attn.k_proj                    0.4621 attn
layers.21.self_attn.o_proj                    0.2818 attn
layers.21.self_attn.q_proj                    0.3576 attn
layers.21.self_attn.v_proj                    0.3542 attn
layers.22.mlp.down_proj                       0.2005 mlp
layers.22.mlp.gate_proj                       0.2980 mlp
layers.22.mlp.up_proj                         0.2766 mlp
layers.22.self_attn.k_proj                    0.4503 attn
layers.22.self_attn.o_proj                    0.2888 attn
layers.22.self_attn.q_proj                    0.3560 attn
layers.22.self_attn.v_proj                    0.3226 attn
layers.23.mlp.down_proj                       0.1968 mlp
layers.23.mlp.gate_proj                       0.3040 mlp
layers.23.mlp.up_proj                         0.2846 mlp
layers.23.self_attn.k_proj                    0.4504 attn
layers.23.self_attn.o_proj                    0.2745 attn
layers.23.self_attn.q_proj                    0.3480 attn
layers.23.self_attn.v_proj                    0.3308 attn
layers.24.mlp.down_proj                       0.1961 mlp
layers.24.mlp.gate_proj                       0.3070 mlp
layers.24.mlp.up_proj                         0.2859 mlp
layers.24.self_attn.k_proj                    0.4620 attn
layers.24.self_attn.o_proj                    0.2947 attn
layers.24.self_attn.q_proj                    0.3491 attn
layers.24.self_attn.v_proj                    0.3407 attn
layers.25.mlp.down_proj                       0.1917 mlp
layers.25.mlp.gate_proj                       0.3008 mlp
layers.25.mlp.up_proj                         0.2784 mlp
layers.25.self_attn.k_proj                    0.4113 attn
layers.25.self_attn.o_proj                    0.2899 attn
layers.25.self_attn.q_proj                    0.3091 attn
layers.25.self_attn.v_proj                    0.3335 attn
layers.26.mlp.down_proj                       0.1955 mlp
layers.26.mlp.gate_proj                       0.2986 mlp
layers.26.mlp.up_proj                         0.2708 mlp
layers.26.self_attn.k_proj                    0.4262 attn
layers.26.self_attn.o_proj                    0.2583 attn
layers.26.self_attn.q_proj                    0.3180 attn
layers.26.self_attn.v_proj                    0.3110 attn
layers.27.mlp.down_proj                       0.1919 mlp
layers.27.mlp.gate_proj                       0.2954 mlp
layers.27.mlp.up_proj                         0.2706 mlp
layers.27.self_attn.k_proj                    0.4085 attn
layers.27.self_attn.o_proj                    0.2925 attn
layers.27.self_attn.q_proj                    0.3122 attn
layers.27.self_attn.v_proj                    0.3196 attn
layers.28.mlp.down_proj                       0.1907 mlp
layers.28.mlp.gate_proj                       0.2899 mlp
layers.28.mlp.up_proj                         0.2695 mlp
layers.28.self_attn.k_proj                    0.4214 attn
layers.28.self_attn.o_proj                    0.2682 attn
layers.28.self_attn.q_proj                    0.3130 attn
layers.28.self_attn.v_proj                    0.3318 attn
layers.29.mlp.down_proj                       0.2010 mlp
layers.29.mlp.gate_proj                       0.2883 mlp
layers.29.mlp.up_proj                         0.2621 mlp
layers.29.self_attn.k_proj                    0.4213 attn
layers.29.self_attn.o_proj                    0.2907 attn
layers.29.self_attn.q_proj                    0.3322 attn
layers.29.self_attn.v_proj                    0.3535 attn
layers.3.mlp.down_proj                        0.2314 mlp
layers.3.mlp.gate_proj                        0.4127 mlp
layers.3.mlp.up_proj                          0.3510 mlp
layers.3.self_attn.k_proj                     0.4551 attn
layers.3.self_attn.o_proj                     0.3741 attn
layers.3.self_attn.q_proj                     0.3868 attn
layers.3.self_attn.v_proj                     0.3890 attn
layers.30.mlp.down_proj                       0.2097 mlp
layers.30.mlp.gate_proj                       0.2887 mlp
layers.30.mlp.up_proj                         0.2675 mlp
layers.30.self_attn.k_proj                    0.3841 attn
layers.30.self_attn.o_proj                    0.2939 attn
layers.30.self_attn.q_proj                    0.2957 attn
layers.30.self_attn.v_proj                    0.3040 attn
layers.31.mlp.down_proj                       0.2003 mlp
layers.31.mlp.gate_proj                       0.2896 mlp
layers.31.mlp.up_proj                         0.2685 mlp
layers.31.self_attn.k_proj                    0.4095 attn
layers.31.self_attn.o_proj                    0.2356 attn
layers.31.self_attn.q_proj                    0.3236 attn
layers.31.self_attn.v_proj                    0.3165 attn
layers.32.mlp.down_proj                       0.1930 mlp
layers.32.mlp.gate_proj                       0.2865 mlp
layers.32.mlp.up_proj                         0.2675 mlp
layers.32.self_attn.k_proj                    0.3925 attn
layers.32.self_attn.o_proj                    0.2435 attn
layers.32.self_attn.q_proj                    0.3135 attn
layers.32.self_attn.v_proj                    0.3320 attn
layers.33.mlp.down_proj                       0.1962 mlp
layers.33.mlp.gate_proj                       0.2882 mlp
layers.33.mlp.up_proj                         0.2718 mlp
layers.33.self_attn.k_proj                    0.4496 attn
layers.33.self_attn.o_proj                    0.2435 attn
layers.33.self_attn.q_proj                    0.3709 attn
layers.33.self_attn.v_proj                    0.4097 attn
layers.34.mlp.down_proj                       0.2179 mlp
layers.34.mlp.gate_proj                       0.2867 mlp
layers.34.mlp.up_proj                         0.2795 mlp
layers.34.self_attn.k_proj                    0.4069 attn
layers.34.self_attn.o_proj                    0.2992 attn
layers.34.self_attn.q_proj                    0.3287 attn
layers.34.self_attn.v_proj                    0.3130 attn
layers.35.mlp.down_proj                       0.2884 mlp
layers.35.mlp.gate_proj                       0.2802 mlp
layers.35.mlp.up_proj                         0.2678 mlp
layers.35.self_attn.k_proj                    0.3623 attn
layers.35.self_attn.o_proj                    0.2959 attn
layers.35.self_attn.q_proj                    0.2811 attn
layers.35.self_attn.v_proj                    0.2841 attn
layers.4.mlp.down_proj                        0.2150 mlp
layers.4.mlp.gate_proj                        0.3992 mlp
layers.4.mlp.up_proj                          0.2971 mlp
layers.4.self_attn.k_proj                     0.3947 attn
layers.4.self_attn.o_proj                     0.3371 attn
layers.4.self_attn.q_proj                     0.3473 attn
layers.4.self_attn.v_proj                     0.3377 attn
layers.5.mlp.down_proj                        0.2049 mlp
layers.5.mlp.gate_proj                        0.3529 mlp
layers.5.mlp.up_proj                          0.2588 mlp
layers.5.self_attn.k_proj                     0.4257 attn
layers.5.self_attn.o_proj                     0.3474 attn
layers.5.self_attn.q_proj                     0.3513 attn
layers.5.self_attn.v_proj                     0.3725 attn
layers.6.mlp.down_proj                        0.1903 mlp
layers.6.mlp.gate_proj                        0.3447 mlp
layers.6.mlp.up_proj                          0.2606 mlp
layers.6.self_attn.k_proj                     0.4169 attn
layers.6.self_attn.o_proj                     0.3100 attn
layers.6.self_attn.q_proj                     0.3567 attn
layers.6.self_attn.v_proj                     0.3332 attn
layers.7.mlp.down_proj                        0.1860 mlp
layers.7.mlp.gate_proj                        0.3043 mlp
layers.7.mlp.up_proj                          0.2526 mlp
layers.7.self_attn.k_proj                     0.4541 attn
layers.7.self_attn.o_proj                     0.3333 attn
layers.7.self_attn.q_proj                     0.3832 attn
layers.7.self_attn.v_proj                     0.3598 attn
layers.8.mlp.down_proj                        0.1854 mlp
layers.8.mlp.gate_proj                        0.3187 mlp
layers.8.mlp.up_proj                          0.2742 mlp
layers.8.self_attn.k_proj                     0.4573 attn
layers.8.self_attn.o_proj                     0.2941 attn
layers.8.self_attn.q_proj                     0.3717 attn
layers.8.self_attn.v_proj                     0.3581 attn
layers.9.mlp.down_proj                        0.1977 mlp
layers.9.mlp.gate_proj                        0.3241 mlp
layers.9.mlp.up_proj                          0.2558 mlp
layers.9.self_attn.k_proj                     0.4467 attn
layers.9.self_attn.o_proj                     0.3229 attn
layers.9.self_attn.q_proj                     0.3606 attn
layers.9.self_attn.v_proj                     0.3574 attn
