layers.0.mlp.down_proj                        0.3568 mlp
layers.0.mlp.gate_proj                        0.4255 mlp
layers.0.mlp.up_proj                          0.4172 mlp
layers.0.self_attn.k_proj                     0.4114 attn
layers.0.self_attn.o_proj                     0.4028 attn
layers.0.self_attn.q_proj                     0.3744 attn
layers.0.self_attn.v_proj                     0.3948 attn
layers.1.mlp.down_proj                        0.5503 mlp
layers.1.mlp.gate_proj                        0.5751 mlp
layers.1.mlp.up_proj                          0.5711 mlp
layers.1.self_attn.k_proj                     0.7133 attn
layers.1.self_attn.o_proj                     0.5961 attn
layers.1.self_attn.q_proj                     0.6803 attn
layers.1.self_attn.v_proj                     0.5720 attn
layers.10.mlp.down_proj                       0.3348 mlp
layers.10.mlp.gate_proj                       0.4068 mlp
layers.10.mlp.up_proj                         0.3631 mlp
layers.10.self_attn.k_proj                    0.4550 attn
layers.10.self_attn.o_proj                    0.4386 attn
layers.10.self_attn.q_proj                    0.4083 attn
layers.10.self_attn.v_proj                    0.4134 attn
layers.11.mlp.down_proj                       0.3119 mlp
layers.11.mlp.gate_proj                       0.4018 mlp
layers.11.mlp.up_proj                         0.3580 mlp
layers.11.self_attn.k_proj                    0.4890 attn
layers.11.self_attn.o_proj                    0.4156 attn
layers.11.self_attn.q_proj                    0.4579 attn
layers.11.self_attn.v_proj                    0.4347 attn
layers.12.mlp.down_proj                       0.3045 mlp
layers.12.mlp.gate_proj                       0.3847 mlp
layers.12.mlp.up_proj                         0.3573 mlp
layers.12.self_attn.k_proj                    0.5158 attn
layers.12.self_attn.o_proj                    0.3735 attn
layers.12.self_attn.q_proj                    0.4669 attn
layers.12.self_attn.v_proj                    0.4150 attn
layers.13.mlp.down_proj                       0.3137 mlp
layers.13.mlp.gate_proj                       0.3908 mlp
layers.13.mlp.up_proj                         0.3596 mlp
layers.13.self_attn.k_proj                    0.5014 attn
layers.13.self_attn.o_proj                    0.4169 attn
layers.13.self_attn.q_proj                    0.4597 attn
