layers.0.mlp.down_proj                        0.2057 mlp
layers.0.mlp.gate_proj                        0.3145 mlp
layers.0.mlp.up_proj                          0.2730 mlp
layers.0.self_attn.k_proj                     0.3089 attn
layers.0.self_attn.o_proj                     0.2717 attn
layers.0.self_attn.q_proj                     0.2664 attn
layers.0.self_attn.v_proj                     0.3084 attn
layers.1.mlp.down_proj                        0.2135 mlp
layers.1.mlp.gate_proj                        0.4855 mlp
layers.1.mlp.up_proj                          0.3726 mlp
layers.1.self_attn.k_proj                     0.4581 attn
layers.1.self_attn.o_proj                     0.3332 attn
layers.1.self_attn.q_proj                     0.3924 attn
layers.1.self_attn.v_proj                     0.3812 attn
layers.10.mlp.down_proj                       0.1552 mlp
layers.10.mlp.gate_proj                       0.2339 mlp
layers.10.mlp.up_proj                         0.1883 mlp
layers.10.self_attn.k_proj                    0.3772 attn
layers.10.self_attn.o_proj                    0.2147 attn
layers.10.self_attn.q_proj                    0.2972 attn
layers.10.self_attn.v_proj                    0.2798 attn
layers.11.mlp.down_proj                       0.1566 mlp
layers.11.mlp.gate_proj                       0.2352 mlp
layers.11.mlp.up_proj                         0.1974 mlp
layers.11.self_attn.k_proj                    0.3917 attn
layers.11.self_attn.o_proj                    0.2200 attn
layers.11.self_attn.q_proj                    0.3055 attn
layers.11.self_attn.v_proj                    0.3006 attn
layers.12.mlp.down_proj                       0.1667 mlp
layers.12.mlp.gate_proj                       0.2448 mlp
layers.12.mlp.up_proj                         0.2055 mlp
layers.12.self_attn.k_proj                    0.4103 attn
layers.12.self_attn.o_proj                    0.2667 attn
layers.12.self_attn.q_proj                    0.3271 attn
layers.12.self_attn.v_proj                    0.3224 attn
layers.13.mlp.down_proj                       0.1618 mlp
layers.13.mlp.gate_proj                       0.2433 mlp
layers.13.mlp.up_proj                         0.2122 mlp
layers.13.self_attn.k_proj                    0.4474 attn
layers.13.self_attn.o_proj                    0.2654 attn
layers.13.self_attn.q_proj                    0.3431 attn
layers.13.self_attn.v_proj                    0.3545 attn
layers.14.mlp.down_proj                       0.1617 mlp
layers.14.mlp.gate_proj                       0.2416 mlp
layers.14.mlp.up_proj                         0.2075 mlp
layers.14.self_attn.k_proj                    0.4062 attn
layers.14.self_attn.o_proj                    0.2247 attn
layers.14.self_attn.q_proj                    0.3129 attn
layers.14.self_attn.v_proj                    0.3131 attn
layers.15.mlp.down_proj                       0.1585 mlp
layers.15.mlp.gate_proj                       0.2360 mlp
layers.15.mlp.up_proj                         0.2109 mlp
layers.15.self_attn.k_proj                    0.4242 attn
layers.15.self_attn.o_proj                    0.2426 attn
layers.15.self_attn.q_proj                    0.3419 attn
layers.15.self_attn.v_proj                    0.3464 attn
layers.16.mlp.down_proj                       0.1549 mlp
layers.16.mlp.gate_proj                       0.2329 mlp
layers.16.mlp.up_proj                         0.2036 mlp
layers.16.self_attn.k_proj                    0.4072 attn
layers.16.self_attn.o_proj                    0.2164 attn
layers.16.self_attn.q_proj                    0.3016 attn
layers.16.self_attn.v_proj                    0.3058 attn
layers.17.mlp.down_proj                       0.1535 mlp
layers.17.mlp.gate_proj                       0.2367 mlp
layers.17.mlp.up_proj                         0.2135 mlp
layers.17.self_attn.k_proj                    0.4155 attn
layers.17.self_attn.o_proj                    0.2380 attn
layers.17.self_attn.q_proj                    0.3193 attn
layers.17.self_attn.v_proj                    0.3098 attn
layers.18.mlp.down_proj                       0.1569 mlp
layers.18.mlp.gate_proj                       0.2327 mlp
layers.18.mlp.up_proj                         0.2106 mlp
layers.18.self_attn.k_proj                    0.4288 attn
layers.18.self_attn.o_proj                    0.2301 attn
layers.18.self_attn.q_proj                    0.3249 attn
layers.18.self_attn.v_proj                    0.3203 attn
layers.19.mlp.down_proj                       0.1547 mlp
layers.19.mlp.gate_proj                       0.2314 mlp
layers.19.mlp.up_proj                         0.2116 mlp
layers.19.self_attn.k_proj                    0.4108 attn
layers.19.self_attn.o_proj                    0.2638 attn
layers.19.self_attn.q_proj                    0.3080 attn
layers.19.self_attn.v_proj                    0.2980 attn
layers.2.mlp.down_proj                        0.2387 mlp
layers.2.mlp.gate_proj                        0.4181 mlp
layers.2.mlp.up_proj                          0.3746 mlp
layers.2.self_attn.k_proj                     0.4267 attn
layers.2.self_attn.o_proj                     0.2860 attn
layers.2.self_attn.q_proj                     0.3449 attn
layers.2.self_attn.v_proj                     0.3354 attn
layers.20.mlp.down_proj                       0.1491 mlp
layers.20.mlp.gate_proj                       0.2316 mlp
layers.20.mlp.up_proj                         0.2110 mlp
layers.20.self_attn.k_proj                    0.4335 attn
layers.20.self_attn.o_proj                    0.2270 attn
layers.20.self_attn.q_proj                    0.3312 attn
layers.20.self_attn.v_proj                    0.3232 attn
layers.21.mlp.down_proj                       0.1499 mlp
layers.21.mlp.gate_proj                       0.2275 mlp
layers.21.mlp.up_proj                         0.2025 mlp
layers.21.self_attn.k_proj                    0.4232 attn
layers.21.self_attn.o_proj                    0.2341 attn
layers.21.self_attn.q_proj                    0.3156 attn
layers.21.self_attn.v_proj                    0.3074 attn
layers.22.mlp.down_proj                       0.1596 mlp
layers.22.mlp.gate_proj                       0.2330 mlp
layers.22.mlp.up_proj                         0.2116 mlp
layers.22.self_attn.k_proj                    0.4184 attn
layers.22.self_attn.o_proj                    0.2313 attn
layers.22.self_attn.q_proj                    0.3155 attn
layers.22.self_attn.v_proj                    0.2703 attn
layers.23.mlp.down_proj                       0.1504 mlp
layers.23.mlp.gate_proj                       0.2380 mlp
layers.23.mlp.up_proj                         0.2188 mlp
layers.23.self_attn.k_proj                    0.4065 attn
layers.23.self_attn.o_proj                    0.2136 attn
layers.23.self_attn.q_proj                    0.3109 attn
layers.23.self_attn.v_proj                    0.2753 attn
layers.24.mlp.down_proj                       0.1485 mlp
layers.24.mlp.gate_proj                       0.2371 mlp
layers.24.mlp.up_proj                         0.2171 mlp
layers.24.self_attn.k_proj                    0.4215 attn
layers.24.self_attn.o_proj                    0.2357 attn
layers.24.self_attn.q_proj                    0.3109 attn
layers.24.self_attn.v_proj                    0.3050 attn
layers.25.mlp.down_proj                       0.1520 mlp
layers.25.mlp.gate_proj                       0.2315 mlp
layers.25.mlp.up_proj                         0.2115 mlp
layers.25.self_attn.k_proj                    0.3629 attn
layers.25.self_attn.o_proj                    0.2245 attn
layers.25.self_attn.q_proj                    0.2654 attn
layers.25.self_attn.v_proj                    0.2795 attn
layers.26.mlp.down_proj                       0.1510 mlp
layers.26.mlp.gate_proj                       0.2271 mlp
layers.26.mlp.up_proj                         0.2042 mlp
layers.26.self_attn.k_proj                    0.3796 attn
layers.26.self_attn.o_proj                    0.1911 attn
layers.26.self_attn.q_proj                    0.2755 attn
layers.26.self_attn.v_proj                    0.2607 attn
layers.27.mlp.down_proj                       0.1620 mlp
layers.27.mlp.gate_proj                       0.2215 mlp
layers.27.mlp.up_proj                         0.2018 mlp
layers.27.self_attn.k_proj                    0.3628 attn
layers.27.self_attn.o_proj                    0.2384 attn
layers.27.self_attn.q_proj                    0.2679 attn
layers.27.self_attn.v_proj                    0.2697 attn
layers.28.mlp.down_proj                       0.1563 mlp
layers.28.mlp.gate_proj                       0.2188 mlp
layers.28.mlp.up_proj                         0.2007 mlp
layers.28.self_attn.k_proj                    0.3807 attn
layers.28.self_attn.o_proj                    0.2120 attn
layers.28.self_attn.q_proj                    0.2696 attn
layers.28.self_attn.v_proj                    0.2833 attn
layers.29.mlp.down_proj                       0.1595 mlp
layers.29.mlp.gate_proj                       0.2141 mlp
layers.29.mlp.up_proj                         0.1959 mlp
layers.29.self_attn.k_proj                    0.3902 attn
layers.29.self_attn.o_proj                    0.2277 attn
layers.29.self_attn.q_proj                    0.2917 attn
layers.29.self_attn.v_proj                    0.3457 attn
layers.3.mlp.down_proj                        0.1875 mlp
layers.3.mlp.gate_proj                        0.4165 mlp
layers.3.mlp.up_proj                          0.3284 mlp
layers.3.self_attn.k_proj                     0.4694 attn
layers.3.self_attn.o_proj                     0.3069 attn
layers.3.self_attn.q_proj                     0.3923 attn
layers.3.self_attn.v_proj                     0.3464 attn
layers.30.mlp.down_proj                       0.1624 mlp
layers.30.mlp.gate_proj                       0.2113 mlp
layers.30.mlp.up_proj                         0.1946 mlp
layers.30.self_attn.k_proj                    0.3337 attn
layers.30.self_attn.o_proj                    0.2109 attn
layers.30.self_attn.q_proj                    0.2526 attn
layers.30.self_attn.v_proj                    0.2559 attn
layers.31.mlp.down_proj                       0.1699 mlp
layers.31.mlp.gate_proj                       0.2105 mlp
layers.31.mlp.up_proj                         0.1948 mlp
layers.31.self_attn.k_proj                    0.3735 attn
layers.31.self_attn.o_proj                    0.2032 attn
layers.31.self_attn.q_proj                    0.2859 attn
layers.31.self_attn.v_proj                    0.2956 attn
layers.32.mlp.down_proj                       0.1884 mlp
layers.32.mlp.gate_proj                       0.2102 mlp
layers.32.mlp.up_proj                         0.1966 mlp
layers.32.self_attn.k_proj                    0.3544 attn
layers.32.self_attn.o_proj                    0.2231 attn
layers.32.self_attn.q_proj                    0.2768 attn
layers.32.self_attn.v_proj                    0.3088 attn
layers.33.mlp.down_proj                       0.1995 mlp
layers.33.mlp.gate_proj                       0.2200 mlp
layers.33.mlp.up_proj                         0.2005 mlp
layers.33.self_attn.k_proj                    0.4129 attn
layers.33.self_attn.o_proj                    0.2101 attn
layers.33.self_attn.q_proj                    0.3454 attn
layers.33.self_attn.v_proj                    0.4001 attn
layers.34.mlp.down_proj                       0.2020 mlp
layers.34.mlp.gate_proj                       0.2308 mlp
layers.34.mlp.up_proj                         0.2118 mlp
layers.34.self_attn.k_proj                    0.3700 attn
layers.34.self_attn.o_proj                    0.2686 attn
layers.34.self_attn.q_proj                    0.2883 attn
layers.34.self_attn.v_proj                    0.2825 attn
layers.35.mlp.down_proj                       0.2474 mlp
layers.35.mlp.gate_proj                       0.2209 mlp
layers.35.mlp.up_proj                         0.2125 mlp
layers.35.self_attn.k_proj                    0.3107 attn
layers.35.self_attn.o_proj                    0.2476 attn
layers.35.self_attn.q_proj                    0.2280 attn
layers.35.self_attn.v_proj                    0.2510 attn
layers.4.mlp.down_proj                        0.1914 mlp
layers.4.mlp.gate_proj                        0.3930 mlp
layers.4.mlp.up_proj                          0.2576 mlp
layers.4.self_attn.k_proj                     0.3564 attn
layers.4.self_attn.o_proj                     0.2629 attn
layers.4.self_attn.q_proj                     0.3097 attn
layers.4.self_attn.v_proj                     0.2935 attn
layers.5.mlp.down_proj                        0.1733 mlp
layers.5.mlp.gate_proj                        0.3496 mlp
layers.5.mlp.up_proj                          0.2115 mlp
layers.5.self_attn.k_proj                     0.3827 attn
layers.5.self_attn.o_proj                     0.2915 attn
layers.5.self_attn.q_proj                     0.3078 attn
layers.5.self_attn.v_proj                     0.3311 attn
layers.6.mlp.down_proj                        0.1553 mlp
layers.6.mlp.gate_proj                        0.3339 mlp
layers.6.mlp.up_proj                          0.2080 mlp
layers.6.self_attn.k_proj                     0.3807 attn
layers.6.self_attn.o_proj                     0.2614 attn
layers.6.self_attn.q_proj                     0.3178 attn
layers.6.self_attn.v_proj                     0.2972 attn
layers.7.mlp.down_proj                        0.1465 mlp
layers.7.mlp.gate_proj                        0.2780 mlp
layers.7.mlp.up_proj                          0.1967 mlp
layers.7.self_attn.k_proj                     0.4372 attn
layers.7.self_attn.o_proj                     0.2653 attn
layers.7.self_attn.q_proj                     0.3657 attn
layers.7.self_attn.v_proj                     0.3231 attn
layers.8.mlp.down_proj                        0.1430 mlp
layers.8.mlp.gate_proj                        0.2550 mlp
layers.8.mlp.up_proj                          0.2074 mlp
layers.8.self_attn.k_proj                     0.4196 attn
layers.8.self_attn.o_proj                     0.2281 attn
layers.8.self_attn.q_proj                     0.3333 attn
layers.8.self_attn.v_proj                     0.3153 attn
layers.9.mlp.down_proj                        0.1546 mlp
layers.9.mlp.gate_proj                        0.2603 mlp
layers.9.mlp.up_proj                          0.1901 mlp
layers.9.self_attn.k_proj                     0.4187 attn
layers.9.self_attn.o_proj                     0.2644 attn
layers.9.self_attn.q_proj                     0.3261 attn
layers.9.self_attn.v_proj                     0.3128 attn
